brand,model,price,screen-size,screen-resolution-x,screen-resolution-y,is-fhd,is-ultra-hd,is-touchable,weight,cpu-brand,cpu-cores,cpu-frequency,cpu-class,memory,memory-type,memory-speed,gpu,has-discrete-graphic-card,gpu-class,storage-size,storage-type,storage-speed,configurable,battery-life,os,warranty,colors,detachable
MSI,MSI GT80 2QE TITAN SLI,2499,17.3,1920,1080,Y,N,N,2.9,Intel,4,2.6,5,8,DDR4,2133,NVIDIA GeForce GTX 970M,Y,2,1024,HDD,,,5,Windows 10 Home / Windows 10 Pro,2,Black,N
Toshiba,Toshiba Satellite P30W-B200S Ultrabook,2399,13.3,1920,1080,Y,N,Y,0.91,Intel,2,1.7,2,8,DDR3L,1600,Intel HD Graphics 4400,N,0,128,SSD,,,7,Windows 8.1,1,Brushed Aluminium Silver,Y
Lenovo,Lenovo ThinkPad E465 ,660,14,1366,768,N,N,N,1.91,AMD,2,1.6,2,4,DDR3L,1600,AMD Radeon R5 (Carrizo),N,0,500,HDD,5400,Up to AMD A10-8700P Processor;Up to 16 GB DDR3L;Up to 1 TB HDD 5400 rpm / 500 GB HDD 7200 rpm / 500 GB HDD 5400 rpm / 500 GB HDD 5400 rpm (8 GB Hybrid) / 192 GB SSD;,6.5,Windows 10 Home 64,1,Black,N
Lenovo,Lenovo ThinkPad L460,829,14,1366,768,N,N,N,1.9,Intel,2,2.3,2,4,DDR3L,1600,Intel HD Graphics 520,N,1,500,HDD,7200,Up to 6th Gen IntelÅ’ CoreÅ_ i7 processor;Up to 32 GB Memory,8.7,Windows 10 Home 64,1,Black,N
Lenovo,Lenovo ThinkPad P50s,2517,15.6,1920,1080,Y,N,N,2.27,Intel,2,2.4,3,4,DDR3L,1600,NVIDIA Quadro M500M,Y,1,500,HDD,7200,Nil,12,Windows 10 Home 64,1,Black,N
Lenovo,Lenovo ThinkPad T460,1534,14,1366,768,N,N,N,1.71,Intel,2,2.3,2,4,DDR3L,1600,Intel HD Graphics 520,N,1,500,HDD,7200,Up to 6th Gen IntelÅ’ CoreÅ_ i7 processor;Up to 32 GB Memory;Up to NVIDIAÅ’ GeForceÅ’ 940MX,13,Windows 10 Home 64,1,Black,N
Lenovo,Lenovo ThinkPad W550s 20E1000USG,2549,15.6,1920,1080,Y,N,N,2.1,Intel,2,2.3,2,4,DDR3L,1600,NVIDIA Quadro K620M,Y,1,500,HDD,7200,Up to 1 TB HDD / Up to 512 GB SSD,12,Windows 7 Professional 64,3,Black,N
Lenovo,Lenovo ThinkPad X1 Yoga Convertible,3023,14,2560,1440,Y,N,Y,1.36,Intel,2,2.3,2,4,LPDDR3,1866,Intel HD Graphics 520,N,1,256,SSD,,Up to IntelÅ’ CoreÅ_ i7 vProÅ_ Processor;Up to 16 GB DDR3;Up to 1 TB PCIe NVMe SSD,11,Windows 10 Home 64,1,Black,N
Lenovo,Lenovo ThinkPad Yoga 260 Convertible,1749,12.5,1920,1080,Y,N,Y,1.3,Intel,2,2.3,2,8,DDR4,2133,Intel HD Graphics 520,N,1,256,SSH,,Up to 6th Gen IntelÅ’ CoreÅ_ i7 processor;Up to 16 GB DDR4 DIMM;Up to 512 GB SSD,10,Windows 10 Pro 64,1,Black,N
Asus,Asus UX305UA-FB004T,1898,13.3,1920,1080,Y,N,N,1.3,Intel,2,2.5,4,8,,,Intel HD Graphics 520,N,1,512,SSD,,,10,Win10,1,Black,N
Dell,Dell XPS 12,2099,12.5,3840,2160,Y,Y,Y,1.27,Intel,2,1.1,2,8,DDR3L,1600,Intel HD Graphics 515,N,0,256,SSD,,Up to 512 GB SSD;Up to 6th Generation IntelÅ’ CoreÅ_ m7 6Y75,5,Windows 10 Home 64,1,Black,Y
Dell,Dell XPS 13 (9350),1399,13.3,1920,1080,Y,N,N,1.2,Intel,2,2.3,2,4,LPDDR3,1866,Intel HD Graphics 520,N,1,128,SSD,,Up to 8 GB Memory; Up to 256 SSD; Up to 6th Generation Intel Core i7-6560U,8,Windows 10 Home 64,1,Silver,N
Dell,Dell XPS 15 (9550),2399,15.6,1920,1080,Y,N,N,0.78,Intel,4,2.6,5,8,DDR4,2133,NVIDIA GeForce GTX 960M,Y,2,1024,HDD,5400,Up to 16 GB Memory; Up to 512 SSD,6,Windows 10 Home 64,1,Silver,N
Asus,Asus ZenBook UX303UB-DQ028T,1698,13.3,3200,1800,Y,Y,N,1.45,Intel,2,2.5,4,8,,,NVIDIA GeForce GT 940M,Y,1,1024,HDD,,,7,Win10,2,Gray,N
Asus,Asus ZenBook UX303UB-R4074T,1398,13.3,1920,1080,Y,N,N,1.45,Intel,2,2.3,2,8,,,NVIDIA GeForce GT 940M,Y,1,1024,HDD,,,7,Win10,2,Gray,N
Asus,Asus ZenBook UX305CA-FB055T,1898,13.3,3200,1800,Y,Y,N,1.2,Intel,2,1.2,2,8,,,Intel HD Graphics 515,N,0,512,SSD,,,10,Win10,2,Black,N
Asus,Asus ZenBook UX305CA-FC004T,1098,13.3,1920,1080,Y,N,N,1.2,Intel,2,0.9,2,4,,,Intel HD Graphics 515,N,0,128,SSD,,,10,Win10,2,Black,N
Asus,Asus ZenBook UX305CA-FC024T,1398,13.3,1920,1080,Y,N,N,1.2,Intel,2,1.1,2,8,,,Intel HD Graphics 515,N,0,256,SSD,,,10,Win10,2,White,N
